"ID","nombrecompleto","INSTITUCION","Pais","LatLong","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
2000,"Ariadnny Guevara","Ministerio del Ambiente","república dominicana","19:-70,666667'",,,315,,"no",0
2091,"Ariadnny Guevara","Ministerio del Ambiente","república dominicana","19:-70,666667'",,,1400,,"no",0
312,"Ariel Gómez","MITRADEL","corea del sur","37:127,5'",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf",1
3085,"Ariel Moraleas","MICI","japón","36:138'",,,3300,,"no",0
1987,"Aris Escobar","Ministerio del Ambiente","brasil","-10:-55'",,,540,,"no",0
1855,"Aris Escobar","Ministerio del Ambiente","chile","-30:-71'",,,2835,,"no",0
2022,"Aris Escobar","Ministerio del Ambiente","honduras","15:-86,5'",,,735,,"no",0
1937,"Aris Escobar","Ministerio del Ambiente","perú","-10:-76'",,,525,,"no",0
3123,"Aris Ramos","MINSA","colombia","4:-72'",,"Cubierto Por Ops/oms",500,,"no",0
1546,"Aristides Abrego","Ministerio de Seguridad Pública","perú","-10:-76'",,"Convenio Marco",2400,,"no",0
1571,"Aristides Abrego","Ministerio de Seguridad Pública","perú","-10:-76'",,"Convenio Marco",2400,,"no",0
870,"Aristides Valdonedo","MEF","austria","47,333333:13,333333'","1824.94",,4200,,"no",0
1008,"Armando Aparicio","Ministerio de la Presidencia","japón","36:138'","2223.43",,3900,,"no",0
353,"Armando Barba","MINSA","república dominicana","19:-70,666667'",,"Cubierto Por El Programa Mundial De Alimentos",400,,"si",1
1009,"Armando Osorio","Ministerio de la Presidencia","méxico","23:-102'",,,,"210-.00","no",0
1010,"Armando Osorio","Ministerio de la Presidencia","el salvador","13,833333:-88,916667'",,,300,,"no",0
2922,"Arquimedes Berroa","MINSA","uruguay","-33:-56'",,"Cubierto Por Ops/oms",3150,,"pdf",1
468,"Arturo Rebollon","MINSA","marruecos","32:-5'",,"Cubierto Por Fondos De Tabaco Administrados Por Ops/oms",750,,"si",1
273,"Astrid Castroverde","MITRADEL","argentina","-34:-64'","1385.67",,2250,,"pdf",1
2698,"Astrid Castroverde","MITRADEL","corea del sur","37:127,5'",,,2415,,"no",0
1011,"Astrid Tejada","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",,,2250,,"no",0
450,"Atala Milord","MINSA","guatemala","15,5:-90,25'",,"Cubierto Por El Fondo Mundial Para El Medio Ambiente",500,,"si",1
1012,"Augusto Arosemena","Ministerio de la Presidencia","alemania","51,5:10,5'",,,4200,,"no",0
3014,"Augusto Arosemena","MICI","españa","40:-4'",5500,,2800,,"no",0
1013,"Augusto Arosemena","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",,,900,,"no",0
112,"Augusto Arosemena","MICI","francia","46:2'","4609.21",,2800,,"pdf",1
141,"Augusto Arosemena","MICI","guatemala","15,5:-90,25'",,,125,,"pdf",1
3005,"Augusto Arosemena","MICI","japón","36:138'","24814.85",,2800,,"no",0
119,"Augusto Arosemena","MICI","perú","-10:-76'",3000,,1000,,"pdf",1
118,"Augusto Arosemena","MICI","perú","-10:-76'",3000,,2000,,"pdf",1
2993,"Augusto Arosemena","MICI","venezuela","8:-66'",2050,,1500,,"no",0
419,"Augusto Diaz","MINSA","nicaragua","13:-85'",,"Cubierto Por El Proyecto All Hazards",300,,"si",1
1014,"Aura Teleguario","Ministerio de la Presidencia",,,"1179.4",,,,"no",0
1681,"Aurelio Gracia","Ministerio del Ambiente","costa rica","10:-84'",,,,,"no",0
2718,"Aurelio Linero","MITRADEL","colombia","4:-72'",,,1400,,"no",0
2727,"Aurelio Linero","MITRADEL","suiza","47:8'",,,9600,,"no",0
2588,"Aurelio Nuñez","MINSA","guatemala","15,5:-90,25'",,"Viáticos Al 30% 420.00",,"Cubierto por NASTAD","no",0
2604,"Aurelio Nuñez","MINSA","guatemala","15,5:-90,25'",,"Viático Complementario 420.00",,"Cubierto por USAID/PASCA","no",0
461,"Aurelio Nuñez","MINSA","colombia","4:-72'",,"Cubierto Por Ops/oms",400,,"si",1
379,"Aurelio Nuñez","MINSA","costa rica","10:-84'",,"Cubierto Por Sica/mcr",400,,"si",1
2570,"Aurelio Nuñez","MINSA","el salvador","13,833333:-88,916667'",,"Cubierto Por Health Focus/giz",105,,"no",0
82,"Aurelio Nuñez","MINSA","el salvador","13,833333:-88,916667'",,"Cubierto Por Comisca",300,,"no",0
3108,"Aurelio Nuñez","MINSA","el salvador","13,833333:-88,916667'",,,300,,"no",0
2933,"Aurelio Nuñez","MINSA","el salvador","13,833333:-88,916667'",,"Cubierto Por Ops/oms",315,,"pdf",1
2938,"Aurelio Nuñez","MINSA","el salvador","13,833333:-88,916667'",,"Cubierto Por Comisca",630,,"pdf",1
381,"Aurelio Nuñez","MINSA","estados unidos de américa","39,828175:-98,5795'","718.16",,2000,,"si",1
380,"Aurelio Nuñez","MINSA","honduras","15:-86,5'",,"Cubierto Por Mcr",200,,"si",1
3122,"Aurelio Nuñez","MINSA","kenia","1:38'",,"Cubierto Por La Constituyente Lac",900,,"no",0
3090,"Aurelio Nuñez","MINSA","república dominicana","19:-70,666667'",,"Cubierto Por La Division Global De Vih Y Tuberculosis De Lso Centros Para El Control Y Prevencion De Enfermedades (cdc) Oficina Regional Para Centroamerica",400,,"no",0
177,"Aurora Carreiro","MIDES","bolivia","-17:-65'",1400,,630,,"pdf",1
165,"Aurora Carreiro","MIDES","chile","-30:-71'",1200,,1350,,"pdf",1
1015,"Avelino Cardenas","Ministerio de la Presidencia","república dominicana","19:-70,666667'","622.65",,700,,"no",0
1616,"Aziza Ladrón","Ministerio del Ambiente","ecuador","-2:-77,5'",,,,,"no",0
1541,"Balbino Quintana","Ministerio de Seguridad Pública","perú","-10:-76'",,"Convenio Marco",2400,,"no",0
1565,"Balbino Quintana","Ministerio de Seguridad Pública","perú","-10:-76'",,"Convenio Marco",2400,,"no",0
1018,"Barbara Sanhueza","Ministerio de la Presidencia","perú","-10:-76'","914.5",,,,"no",0
2643,"Barry Arce","MINSA","costa rica","10:-84'",,"Cubierto Por El Instituto Conmemorativo Gorgas",1050,,"no",0
2723,"Beatriz Manzur","MITRADEL","bélgica","50,833333:4'",,,3000,,"no",0
2720,"Beatriz Manzur","MITRADEL","colombia","4:-72'",,,1400,,"no",0
331,"Beatriz Manzur","MITRADEL","honduras","15:-86,5'","723.6",,1600,,"pdf",1
192,"Beatriz Melendez","MIDES","argentina","-34:-64'",1200,,2000,,"pdf",1
1667,"Bedsy González","Ministerio del Ambiente","costa rica","10:-84'",,,,,"no",0
1837,"Bedsy González","Ministerio del Ambiente","costa rica","10:-84'",,,420,,"no",0
1609,"Belinda Castroverde","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",1200,,2000,,"no",0
1608,"Belisario Tejada","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",,"Convenio Marco",3000,,"no",0
1606,"Belisario Tejada","Ministerio de Seguridad Pública","estados unidos de américa","39,828175:-98,5795'",697,,1500,,"no",0
2750,"Belkis Oberto","MITRADEL","corea del sur","37:127,5'",,,3400,,"no",0
300,"Belkis Oberto","MITRADEL","corea del sur","37:127,5'",,"Todos Los Pasajes Aéreos Fueron Pagados Por La Agencia De Cooperación Internacional De Corea ( Koica)",3400,,"pdf",1
1666,"Benigno Villamonte","Ministerio del Ambiente","costa rica","10:-84'",,,,,"no",0
1838,"Benigno Villamonte","Ministerio del Ambiente","costa rica","10:-84'",,,420,,"no",0
1918,"Benigno Villamonte","Ministerio del Ambiente","costa rica","10:-84'",,,1400,,"no",0
2311,"Benigno Villamonte","Ministerio del Ambiente","costa rica","10:-84'",,,1750,,"no",0
2310,"Benito Gómez","Ministerio del Ambiente","costa rica","10:-84'",,,1750,,"no",0
