"ID","nombrecompleto","INSTITUCION","Pais","LatLong","ano","CostoPasajes","CostoViaticos","informeNumber"
873,"Dilka Escobar","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"834.22",2700,"No"
874,"Betsy Castro","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1014.63",2700,"No"
875,"Tito González","MEF","el salvador","13,833333:-88,916667'",2015,"739.82",2100,"No"
876,"Emilio Espino","MEF","el salvador","13,833333:-88,916667'",2015,"739.82",2100,"No"
877,"Camilo Caballero","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1111.6",2700,"No"
878,"Julio Escarriola","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1111.6",2700,"No"
879,"Alvaro Montenegro","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1111.6",2700,"No"
880,"Angela Romero","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1111.6",2700,"No"
881,"Eric Ríos","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1176.8",2700,"No"
882,"Ingrid Hernández","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1176.8",2700,"No"
883,"Arelis Álvarez","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1176.8",2700,"No"
884,"Elka Peralta","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1176.8",2700,"No"
885,"Anayansi Lobo","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1021.7",2700,"No"
886,"Lizi Rose","MEF","estados unidos de américa","39,828175:-98,5795'",2015,"1021.7",2700,"No"
887,"Tahira Benitez","MEF","chile","-30:-71'",2015,,900,"No"
888,"Aracely Méndez","MEF","canadá","60:-96'",2015,,1350,"No"
889,"Carmen Vega","MEF","colombia","4:-72'",2015,,525,"No"
890,"Eyda Varela","MEF","nicaragua","13:-85'",2016,"1620.73",1000,"No"
891,"Lorena Barroso","MEF","españa","40:-4'",2016,"1391.24",4200,"No"
892,"Julissa Abrego","MEF","españa","40:-4'",2016,"1391.24",4200,"No"
893,"Luis Santos","MEF","españa","40:-4'",2016,"1391.24",4200,"No"
894,"Flor Escudero","MEF","españa","40:-4'",2016,"1217.29",4200,"No"
895,"Edilberto Rivera","MEF","españa","40:-4'",2016,"1217.29",4200,"No"
896,"Vianka Aranda","MEF","españa","40:-4'",2016,"1217.29",4200,"No"
897,"Doralis Baso","MEF","españa","40:-4'",2016,"1217.29",4200,"No"
898,"Jorge Iglesias","MEF","españa","40:-4'",2016,"1217.29",4200,"No"
899,"Erlyn Santana","MEF","estados unidos de américa","39,828175:-98,5795'",2016,"540.76",1500,"No"
900,"Edson Da Luz","MEF","república dominicana","19:-70,666667'",2016,"1167.7",,"No"
901,"Georgina Osorio","MEF","costa rica","10:-84'",2016,"440.09",1200,"No"
902,"Rogelio Vásquez","MEF","costa rica","10:-84'",2016,"440.09",1200,"No"
903,"Víctor Medina","MEF","costa rica","10:-84'",2016,"536.39",400,"No"
904,"Rogelio Medrano","MEF","uruguay","-33:-56'",2016,"1444.8",600,"No"
905,"Adalina Campos","MEF","colombia","4:-72'",2016,,300,"No"
906,"Erasmo Cedeño","MEF","estados unidos de américa","39,828175:-98,5795'",2016,"1523.86",2000,"No"
907,"José Fernández","MEF","canadá","60:-96'",2016,,1125,"No"
908,"Patricia Quintana","MEF","canadá","60:-96'",2016,,1125,"No"
909,"Aracely Méndez","MEF","canadá","60:-96'",2016,,1500,"No"
910,"Dilka Escobar","MEF","brasil","-10:-55'",2016,1657,2000,"No"
911,"Darma Romero","MEF","francia","46:2'",2016,"776.24",6600,"No"
912,"Eyda Varela","MEF","estados unidos de américa","39,828175:-98,5795'",2016,"2665.56",2400,"No"
913,"Carlamara Sánchez","MEF","estados unidos de américa","39,828175:-98,5795'",2016,"1142.96",2000,"No"
914,"Nicole Fernández","MEF","francia","46:2'",2016,"1079.76",4200,"No"
915,"Roberto Hernández","MEF","bélgica","50,833333:4'",2016,"982.44",8400,"No"
916,"Frida Medrano","MEF","méxico","23:-102'",2016,"769.96",2400,"No"
917,"Diwigdi Valiente","MEF","méxico","23:-102'",2016,"769.96",2400,"No"
918,"Angela Romero","MEF","estados unidos de américa","39,828175:-98,5795'",2016,"694.86",3000,"No"
919,"Arelis Álvarez","MEF","estados unidos de américa","39,828175:-98,5795'",2016,"694.86",3000,"No"
920,"Ingrid Hernández","MEF","estados unidos de américa","39,828175:-98,5795'",2016,"694.86",3000,"No"
921,"Eric Ríos","MEF","estados unidos de américa","39,828175:-98,5795'",2016,"694.86",3000,"No"
922,"Mariela Sánchez","MIDES","estados unidos de américa","39,828175:-98,5795'",2014,,900,"No"
923,"Mercedes Perez","MIDES","estados unidos de américa","39,828175:-98,5795'",2014,,900,"No"
924,"Zulema Sucre","MIDES","colombia","4:-72'",2014,,660,"No"
925,"Ana Cristina","MIDES","colombia","4:-72'",2014,,660,"No"
926,"Kattya Guerra","MIDES","colombia","4:-72'",2014,,660,"No"
927,"Zulema Sucre","MIDES","méxico","23:-102'",2014,,760,"No"
928,"Laiza Johnson","MIDES","república dominicana","19:-70,666667'",2014,,735,"No"
929,"Sergio Vigil","MIDES","holanda","52,5:5,75'",2014,,,"No"
930,"Alfonso Quirós","MIDES","estados unidos de américa","39,828175:-98,5795'",2014,,270,"No"
931,"Vielka Tejada","MIDES","méxico","23:-102'",2014,,420,"No"
932,"Yasmín Cardenas","MIDES","méxico","23:-102'",2014,,420,"No"
933,"Marino Abrego","MIDES","méxico","23:-102'",2014,,420,"No"
934,"Hermes Ortega","MIDES","perú","-10:-76'",2014,,315,"No"
935,"Zulema Sucre","MIDES","italia","42,833333:12,833333'",2014,,3500,"No"
936,"Marcial Buitrago","MIDES","el salvador","13,833333:-88,916667'",2014,,210,"No"
937,"Zulema Sucre","MIDES","españa","40:-4'",2014,,840,"No"
938,"Zulema Sucre","MIDES","méxico","23:-102'",2014,,1200,"No"
939,"Liane Ortega","MIDES","méxico","23:-102'",2014,,270,"No"
940,"Javier Vasquez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"684.63",1575,"No"
941,"Aaron Gonzalez","Ministerio de la Presidencia","alemania","51,5:10,5'",2016,"1971.68",2100,"No"
942,"Abdiel Patiño","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,,4500,"No"
943,"Abdiel Patiño","Ministerio de la Presidencia","uruguay","-33:-56'",2016,,2400,"No"
944,"Abraham Bozo","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"608.79",,"No"
945,"Adelizabeth Rodriguez","Ministerio de la Presidencia","singapur","1,366667:103,8'",2016,"3408.35",6600,"No"
946,"Adelizabeth Rodriguez","Ministerio de la Presidencia","francia","46:2'",2016,"1559.26",7200,"No"
947,"Adelizabeth Rodriguez","Ministerio de la Presidencia","francia","46:2'",2016,"2116.92",4200,"No"
948,"Adolfo Martinez","Ministerio de la Presidencia",,,2016,"698.68",,"No"
949,"Alberto Delgado","Ministerio de la Presidencia","holanda","52,5:5,75'",2016,"689.69",3000,"No"
950,"Alejandro Tuñon","Ministerio de la Presidencia","perú","-10:-76'",2016,"822.64",1200,"No"
951,"Alejandro Tuñon","Ministerio de la Presidencia","colombia","4:-72'",2016,,100,"No"
952,"Alejandro Tuñon","Ministerio de la Presidencia","holanda","52,5:5,75'",2016,"689.69",3000,"No"
953,"Alejandro Melo","Ministerio de la Presidencia","españa","40:-4'",2015,,720,"No"
954,"Alejandro Melo","Ministerio de la Presidencia","méxico","23:-102'",2015,952,1750,"No"
955,"Alex Montenegro","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"829.1",1125,"No"
956,"Alex Montenegro","Ministerio de la Presidencia","honduras","15:-86,5'",2016,"802.73",1200,"No"
957,"Alex Montenegro","Ministerio de la Presidencia","colombia","4:-72'",2016,"1142.1",1000,"No"
958,"Alex Perez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"2113.86",2475,"No"
959,"Alex Perez","Ministerio de la Presidencia","cuba","22:-79,5'",2015,"1888.93",1050,"No"
960,"Alex Perez","Ministerio de la Presidencia","francia","46:2'",2015,"2576.54",2400,"No"
961,"Alex Perez","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2015,"2130.59",875,"No"
962,"Alex Perez","Ministerio de la Presidencia","méxico","23:-102'",2015,"1939.22",700,"No"
963,"Alex Perez","Ministerio de la Presidencia","ecuador","-2:-77,5'",2016,,200,"No"
964,"Alex Perez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"1772.06",1000,"No"
965,"Alex Perez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"2252.56",2000,"No"
966,"Alex Perez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"2159.46",5000,"No"
967,"Alex Perez","Ministerio de la Presidencia","japón","36:138'",2016,"24159.76",4800,"No"
968,"Alex Perez","Ministerio de la Presidencia","cuba","22:-79,5'",2016,"2343.8",2400,"No"
969,"Alex Perez","Ministerio de la Presidencia","polonia","52:20'",2016,"7692.05",7200,"No"
970,"Alex Perez","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2016,"1994.8",2000,"No"
971,"Alex Perez","Ministerio de la Presidencia","polonia","52:20'",2016,"4223.95",600,"No"
972,"Alex Perez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"2300.66",2250,"No"
973,"Alex Perez","Ministerio de la Presidencia","colombia","4:-72'",2016,"1785.04",600,"No"
974,"Alex Perez","Ministerio de la Presidencia","alemania","51,5:10,5'",2016,"6027.16",3000,"No"
975,"Alexis Bethancourt","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"1467.16",,"No"
976,"Alexis Bethancourt","Ministerio de la Presidencia","méxico","23:-102'",2015,952,1750,"No"
977,"Alexis Almanza","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"256.41",1800,"No"
978,"Alexis Bethancourt","Ministerio de la Presidencia","taiwan","24:121'",2015,,1260,"No"
979,"Alexis Bethancourt","Ministerio de la Presidencia","méxico","23:-102'",2015,"1544.32",2450,"No"
980,"Alexis Bethancourt","Ministerio de la Presidencia","francia","46:2'",2016,"1070.03",4800,"No"
981,"Alexis Bethancourt","Ministerio de la Presidencia","nicaragua","13:-85'",2016,,500,"No"
982,"Alexis Bethancourt","Ministerio de la Presidencia","colombia","4:-72'",2016,,100,"No"
983,"Alexis Bethancourt","Ministerio de la Presidencia","corea del norte","40:127'",2016,"3092.17",5400,"No"
984,"Alexis Bethancourt","Ministerio de la Presidencia","francia","46:2'",2015,"1257.42",4800,"No"
985,"Alis Mosquera","Ministerio de la Presidencia","china","35:105'",2016,"2561.27",2700,"No"
986,"Aljedrando Varela","Ministerio de la Presidencia",,,2016,"799.62",,"No"
987,"Alvaro Aleman","Ministerio de la Presidencia","guatemala","15,5:-90,25'",2016,"917.93",500,"No"
988,"Alvaro Aleman","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2015,,400,"No"
989,"Ameth Sanchez","Ministerio de la Presidencia","alemania","51,5:10,5'",2016,"1971.68",2100,"No"
990,"Ameth Perez","Ministerio de la Presidencia","japón","36:138'",2016,"4427.63",5400,"No"
991,"Ana Castillo","Ministerio de la Presidencia","polonia","52:20'",2016,"6179.64",,"No"
992,"Ana Castillo","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"2271.76",,"No"
993,"Ana Reyes","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"2145.16",2500,"No"
994,"Ana Reyes","Ministerio de la Presidencia","méxico","23:-102'",2016,,200,"No"
995,"Ana Reyes","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,,750,"No"
996,"Ana Reyes","Ministerio de la Presidencia","perú","-10:-76'",2016,"1511.74",800,"No"
997,"Ana Reyes","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"896.86",1800,"No"
998,"Ana Reyes","Ministerio de la Presidencia","alemania","51,5:10,5'",2015,,4200,"No"
999,"Ana De León","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"2271.76",1750,"No"
1000,"Ana De León","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"894.63",1800,"No"
1001,"Ana De León","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2016,"1046.7",800,"No"
1002,"Ana De León","Ministerio de la Presidencia","japón","36:138'",2016,"13985.73",2700,"No"
1003,"Ana De León","Ministerio de la Presidencia","suiza","47:8'",2016,"2420.92",1500,"No"
1004,"Ana De León","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"2420.92",1000,"No"
1005,"Ana De León","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"7053.04",2300,"No"
1006,"Angel Calderon","Ministerio de la Presidencia",,,2016,"719.04",,"No"
1007,"Anibal Ruiz","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2016,"971.8",1600,"No"
1008,"Armando Aparicio","Ministerio de la Presidencia","japón","36:138'",2016,"2223.43",3900,"No"
1009,"Armando Osorio","Ministerio de la Presidencia","méxico","23:-102'",2015,,,"No"
1010,"Armando Osorio","Ministerio de la Presidencia","el salvador","13,833333:-88,916667'",2016,,300,"No"
1011,"Astrid Tejada","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,,2250,"No"
1012,"Augusto Arosemena","Ministerio de la Presidencia","alemania","51,5:10,5'",2015,,4200,"No"
1013,"Augusto Arosemena","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,,900,"No"
1014,"Aura Teleguario","Ministerio de la Presidencia",,,2016,"1179.4",,"No"
1015,"Avelino Cardenas","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2015,"622.65",700,"No"
1016,"Haydee De Lay","Ministerio de la Presidencia","brasil","-10:-55'",2015,"1321.13",1500,"No"
1017,"Haydee De Lay","Ministerio de la Presidencia","guinea ecuatorial","2:10'",2015,,1080,"No"
1018,"Barbara Sanhueza","Ministerio de la Presidencia","perú","-10:-76'",2015,"914.5",,"No"
1019,"Carla White","Ministerio de la Presidencia",,,2016,"972.13",,"No"
1020,"Carla Bush","Ministerio de la Presidencia",,,2016,"972.13",,"No"
1021,"Carlos Duboy","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2016,,1000,"No"
1022,"Carlos Damian","Ministerio de la Presidencia","armenia","40:45'",2016,,1050,"No"
1023,"Carlos Garrido","Ministerio de la Presidencia","cuba","22:-79,5'",2016,"1040.5",1600,"No"
1024,"Carlos Duboy","Ministerio de la Presidencia","colombia","4:-72'",2016,"3247.6",100,"No"
1025,"Carlos Duboy","Ministerio de la Presidencia","singapur","1,366667:103,8'",2016,"5405.63",5600,"No"
1026,"Carlos Duboy","Ministerio de la Presidencia","suecia","62:15'",2016,"4216.46",3000,"No"
1027,"Carlos Duboy","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2016,,400,"No"
1028,"Carlos Duboy","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2016,"1941.3",800,"No"
1029,"Carlos Duboy","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,,300,"No"
1030,"Carlos Garrido","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"1182.56",750,"No"
1031,"Carlos Garrido","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"406.76",1000,"No"
1032,"Carlos Garrido","Ministerio de la Presidencia","colombia","4:-72'",2016,"909.7",1000,"No"
1033,"Carlos Vergara","Ministerio de la Presidencia","francia","46:2'",2015,"1365.34",8400,"No"
1034,"Carlos Iglesias","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2015,,315,"No"
1035,"Carlos Iglesias","Ministerio de la Presidencia","el salvador","13,833333:-88,916667'",2015,"400.67",1400,"No"
1036,"Carlos Iglesias","Ministerio de la Presidencia","méxico","23:-102'",2016,,300,"No"
1037,"Carmen De La Soledad","Ministerio de la Presidencia",,,2016,"1101.66",,"No"
1038,"Carmen Gomez","Ministerio de la Presidencia","francia","46:2'",2015,,4800,"No"
1039,"Carmen Diaz","Ministerio de la Presidencia",,,2016,"781.7",,"No"
1040,"Celina Denys","Ministerio de la Presidencia",,,2016,"595.83",,"No"
1041,"Cielo O'neill","Ministerio de la Presidencia","méxico","23:-102'",2015,952,1750,"No"
1042,"Dalys Ortega","Ministerio de la Presidencia","francia","46:2'",2015,"1257.42",4800,"No"
1043,"Dalys Ortega","Ministerio de la Presidencia","paraguay","-22,993333:-57,996389'",2016,"1120.4",1200,"No"
1044,"David Quiros","Ministerio de la Presidencia","francia","46:2'",2016,"1070.03",4800,"No"
1045,"David Quiros","Ministerio de la Presidencia","italia","42,833333:12,833333'",2016,"2169.38",2400,"No"
1046,"David Quiros","Ministerio de la Presidencia","holanda","52,5:5,75'",2016,"689.69",3000,"No"
1047,"David Luke","Ministerio de la Presidencia","kuwait","29,5:47,75'",2016,"3853.19",1800,"No"
1048,"David Montenegro","Ministerio de la Presidencia","honduras","15:-86,5'",2016,,2000,"No"
1049,"David Montenegro","Ministerio de la Presidencia","perú","-10:-76'",2015,"1452.87",2080,"No"
1050,"David Montenegro","Ministerio de la Presidencia","chile","-30:-71'",2015,"1419.63",450,"No"
1051,"David Montenegro","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2016,,625,"No"
1052,"David Montenegro","Ministerio de la Presidencia","el salvador","13,833333:-88,916667'",2016,,375,"No"
1053,"David Montenegro","Ministerio de la Presidencia","uganda","2:33'",2016,,375,"No"
1054,"David Montenegro","Ministerio de la Presidencia","méxico","23:-102'",2016,,250,"No"
1055,"David Montenegro","Ministerio de la Presidencia","costa rica","10:-84'",2016,"699.09",1000,"No"
1056,"David Muñoz","Ministerio de la Presidencia","francia","46:2'",2016,,600,"No"
1057,"David Muñoz","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,,250,"No"
1058,"David Muñoz","Ministerio de la Presidencia","bolivia","-17:-65'",2015,"1125.98",2450,"No"
1059,"David Muñoz","Ministerio de la Presidencia","méxico","23:-102'",2016,"1081.43",2000,"No"
1060,"David Muñoz","Ministerio de la Presidencia","uruguay","-33:-56'",2016,1416,2400,"No"
1061,"David Rojas","Ministerio de la Presidencia",,,2016,"972.13",,"No"
1062,"David Young","Ministerio de la Presidencia","inglaterra","54:-4'",2016,,750,"No"
1063,"David Young","Ministerio de la Presidencia","inglaterra","54:-4'",2015,"3372.71",3000,"No"
1064,"David Young","Ministerio de la Presidencia","francia","46:2'",2016,"1559.26",7200,"No"
1065,"David Young","Ministerio de la Presidencia","singapur","1,366667:103,8'",2016,"3408.35",6600,"No"
1066,"Denis Ziñiga","Ministerio de la Presidencia","guatemala","15,5:-90,25'",2015,,525,"No"
1067,"Diomedes Gonzalez","Ministerio de la Presidencia","uruguay","-33:-56'",2016,1416,2400,"No"
1068,"Diomedes Gonzalez","Ministerio de la Presidencia","méxico","23:-102'",2016,"1081.43",2000,"No"
1069,"Diomedes Gonzalez","Ministerio de la Presidencia","costa rica","10:-84'",2016,,500,"No"
1070,"Duc Mora","Ministerio de la Presidencia","cuba","22:-79,5'",2016,1094,1600,"No"
1071,"Edgar Ovalle","Ministerio de la Presidencia",,,2016,"542.2",,"No"
1072,"Eduardo Batista","Ministerio de la Presidencia","cuba","22:-79,5'",2015,"1100.09",875,"No"
1073,"Eduardo Batista","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,,625,"No"
1074,"Eduardo Batista","Ministerio de la Presidencia","suiza","47:8'",2016,"1505.48",1800,"No"
1075,"Edwin Castellanos","Ministerio de la Presidencia",,,2016,"1179.4",,"No"
1076,"Elio Rivera","Ministerio de la Presidencia","cuba","22:-79,5'",2015,"871.11",875,"No"
1077,"Elio Rivera","Ministerio de la Presidencia","argentina","-34:-64'",2015,"2295.68",2250,"No"
1078,"Elio Rivera","Ministerio de la Presidencia","taiwan","24:121'",2016,"2561.27",3600,"No"
1079,"Elio Rivera","Ministerio de la Presidencia","colombia","4:-72'",2016,"792.2",1000,"No"
1080,"Elio Rivera","Ministerio de la Presidencia","colombia","4:-72'",2016,"1142.1",1000,"No"
1081,"Elizabeth Gonzalez","Ministerio de la Presidencia","argentina","-34:-64'",2015,"2775.43",2700,"No"
1082,"Elizabeth Gonzalez","Ministerio de la Presidencia","méxico","23:-102'",2015,"1544.32",2450,"No"
1083,"Eloy Espinosa","Ministerio de la Presidencia","perú","-10:-76'",2016,"1359.64",,"No"
1084,"Erick Barrios","Ministerio de la Presidencia","cuba","22:-79,5'",2015,"870.04",1050,"No"
1085,"Erick Barrios","Ministerio de la Presidencia","japón","36:138'",2016,,300,"No"
1086,"Erick Barrios","Ministerio de la Presidencia","japón","36:138'",2016,"4637.04",3000,"No"
1087,"Erick Barrios","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"1450.02",2000,"No"
1088,"Ericka Gonzalez","Ministerio de la Presidencia","guatemala","15,5:-90,25'",2016,,250,"No"
1089,"Ericka Gonzalez","Ministerio de la Presidencia","japón","36:138'",2016,,2450,"No"
1090,"Ericka De Villatoro","Ministerio de la Presidencia",,,2016,"940.12",,"No"
1091,"Ericka Gonzalez","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,,450,"No"
1092,"Ernesto Lobo","Ministerio de la Presidencia","costa rica","10:-84'",2016,"734.93",,"No"
1093,"Ernesto Tristan","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,,2250,"No"
1094,"Stella Escala","Ministerio de la Presidencia","guatemala","15,5:-90,25'",2016,"646.9",800,"No"
1095,"Euclides Deago","Ministerio de la Presidencia","el salvador","13,833333:-88,916667'",2016,"222.33",1200,"No"
1096,"Felix Gonzalez","Ministerio de la Presidencia","república dominicana","19:-70,666667'",,42599,,"No"
1097,"Felix Gonzalez","Ministerio de la Presidencia","ecuador","-2:-77,5'",2016,,800,"No"
1098,"Felix Guerra","Ministerio de la Presidencia","cuba","22:-79,5'",2015,"1320.51",700,"No"
1099,"Fernando Diaz","Ministerio de la Presidencia","colombia","4:-72'",2015,,1050,"No"
1100,"Fernando Diaz","Ministerio de la Presidencia","honduras","15:-86,5'",2016,,500,"No"
1101,"Fernando Diaz","Ministerio de la Presidencia","costa rica","10:-84'",2015,,350,"No"
1102,"Fernando Diaz","Ministerio de la Presidencia","aruba","12,5:-69,966667'",2015,,315,"No"
1103,"Fernando Diaz","Ministerio de la Presidencia","el salvador","13,833333:-88,916667'",2015,"1709.72",1400,"No"
1104,"Fernando Diaz","Ministerio de la Presidencia","honduras","15:-86,5'",2016,,200,"No"
1105,"Fernando Diaz","Ministerio de la Presidencia","méxico","23:-102'",2016,,300,"No"
1106,"Fernando Diaz","Ministerio de la Presidencia","alemania","51,5:10,5'",2016,,900,"No"
1107,"Fernando Diaz","Ministerio de la Presidencia","nicaragua","13:-85'",2016,,300,"No"
1108,"Fernando Diaz","Ministerio de la Presidencia","méxico","23:-102'",2016,,300,"No"
1109,"Fernando Diaz","Ministerio de la Presidencia","el salvador","13,833333:-88,916667'",2016,,200,"No"
1110,"Fernando Velasquez","Ministerio de la Presidencia","italia","42,833333:12,833333'",2016,"1433.22",2100,"No"
1111,"Flor Vanegas","Ministerio de la Presidencia",,,2016,"1282.63",,"No"
1112,"Francisco Hirezi","Ministerio de la Presidencia",,,2016,"661.41",,"No"
1113,"Francisco Sierra","Ministerio de la Presidencia","colombia","4:-72'",2016,"3247.6",100,"No"
1114,"Fredys Peña","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"717.54",900,"No"
1115,"Fredys Peña","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"1182.56",750,"No"
1116,"Fredys Peña","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"705.73",2475,"No"
1117,"Fredys Peña","Ministerio de la Presidencia","polonia","52:20'",2016,"3061.98",6000,"No"
1118,"Gabriel Ibarra","Ministerio de la Presidencia","méxico","23:-102'",2015,"594.71",,"No"
1119,"Giovanni Ceballos","Ministerio de la Presidencia","guatemala","15,5:-90,25'",2016,"588.73",1200,"No"
1120,"Gonzalo Prosper","Ministerio de la Presidencia","polonia","52:20'",2016,,600,"No"
1121,"Gonzalo Prosper","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"1311.43",2475,"No"
1122,"Gonzalo Prosper","Ministerio de la Presidencia","francia","46:2'",2015,"1760.43",2400,"No"
1123,"Gonzalo Prosper","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"1008.16",1000,"No"
1124,"Gonzalo Prosper","Ministerio de la Presidencia","inglaterra","54:-4'",2016,,5400,"No"
1125,"Gonzalo Prosper","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"1135.46",4500,"No"
1126,"Gonzalo Prosper","Ministerio de la Presidencia","japón","36:138'",2016,"2705.58",4800,"No"
1127,"Gonzalo Prosper","Ministerio de la Presidencia","cuba","22:-79,5'",2016,"738.8",2400,"No"
1128,"Gonzalo Prosper","Ministerio de la Presidencia","polonia","52:20'",2016,"2442.84",7800,"No"
1129,"Gonzalo Prosper","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"1294.86",2500,"No"
1130,"Gonzalo Prosper","Ministerio de la Presidencia","alemania","51,5:10,5'",2016,"1351.06",3000,"No"
1131,"Griselada Jimenez","Ministerio de la Presidencia","colombia","4:-72'",2015,"225.43",1400,"No"
1132,"Harry Gonzalez","Ministerio de la Presidencia","república dominicana","19:-70,666667'",2016,,500,"No"
1133,"Haydee De Lay","Ministerio de la Presidencia","costa rica","10:-84'",2016,"431.59",2000,"No"
1134,"Haydee De Lay","Ministerio de la Presidencia","costa rica","10:-84'",2016,,375,"No"
1135,"Haydee De Lay","Ministerio de la Presidencia","guatemala","15,5:-90,25'",2016,,200,"No"
1136,"Héctor Rodríguez","Ministerio de la Presidencia","méxico","23:-102'",2015,,315,"No"
1137,"Hector Ruiloba","Ministerio de la Presidencia","cuba","22:-79,5'",2015,"870.04",1050,"No"
1138,"Hector Ruiloba","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2015,"717.54",900,"No"
1139,"Hector Ruiloba","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"406.76",1000,"No"
1140,"Hector Ruiloba","Ministerio de la Presidencia","honduras","15:-86,5'",2016,"843.39",800,"No"
1141,"Hector Ruiloba","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"1450.02",2000,"No"
1142,"Hector Ruiloba","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"1182.56",750,"No"
1143,"Hefer Morataya","Ministerio de la Presidencia",,,2016,"661.41",,"No"
1144,"Helmut Flores","Ministerio de la Presidencia","perú","-10:-76'",2015,,1050,"No"
1145,"Helmut Flores","Ministerio de la Presidencia","estados unidos de américa","39,828175:-98,5795'",2016,"540.56",2000,"No"
1146,"Helmut Flores","Ministerio de la Presidencia","holanda","52,5:5,75'",2016,"689.69",3000,"No"
1147,"Helmut Flores","Ministerio de la Presidencia","nepal","28:84'",2016,,750,"No"
1148,"Henry Gonzalez","Ministerio de la Presidencia","colombia","4:-72'",2015,,315,"No"
1149,"Igor Saavedra","Ministerio de la Presidencia","costa rica","10:-84'",2016,"483.99",1200,"No"
1150,"Igor Saavedra","Ministerio de la Presidencia","perú","-10:-76'",2016,"822.64",1200,"No"
1151,"Igor Saavedra","Ministerio de la Presidencia","costa rica","10:-84'",2016,,400,"No"
