nombrecompleto,CostoPasajes,CostoViaticos,CantidadViajes,TotalViaje,CostoPerViaje,Institución
Marianela Salazar,2397,3775,2,6172,3086,Ministerio de la Presidencia
Maribel E. Quintero R.,2098,2250,1,4348,4348,MIVIOT
Maricarmen Mendizabal,1417,5400,1,6817,6817,MEF
Maricela Delgado,3308,8680,3,11988,3996,MEF
Mariel Aizpurúa,0,2520,1,2520,2520,MEF
Mariel Nuñez,508,900,1,1408,1408,MEF
Mariel Sanjur,0,1980,1,1980,1980,Ministerio del Ambiente
Mariela Barrera,0,735,2,735,368,MINSA
Mariela Gonzalez,0,405,1,405,405,MINSA
Mariela Sánchez,0,900,1,900,900,MIDES
Mariela Vives,0,2200,2,2200,1100,Ministerio de Seguridad Pública
Mariela Zurita,1749,11475,6,13224,2204,MINSA
Marietta Jaen,9783,11000,3,20783,6928,MOP
Marina Gallardo,915,1980,2,2895,1448,Ministerio del Ambiente
Marina Rodriguez,2809,3135,2,5944,2972,Ministerio de la Presidencia
Marined Hurtado,0,2400,1,2400,2400,Ministerio de Seguridad Pública
Marino Abrego,0,1560,3,1560,520,MIDES
Mario Etchelecu,1689,500,1,2189,2189,MIVIOT
Mario Gongora,0,1530,2,1530,765,AIG
Mario Sánchez,0,9600,1,9600,9600,MITRADEL
Marío Santamaría,0,7000,2,7000,3500,Ministerio del Ambiente
Mario Torrero,653,4200,3,4853,1618,MINSA
Marisabel Oses,1,4550,1,4551,4551,MITRADEL
Marisol Dimas,0,11540,5,11540,2308,Ministerio del Ambiente
Marisol Guerra,0,2100,1,2100,2100,Ministerio de Seguridad Pública
marisol Sierra,654,900,1,1554,1554,MEF
Marissa Espino,1433,2100,1,3533,3533,Ministerio de la Presidencia
Marissa Pitti,0,630,1,630,630,Ministerio del Ambiente
Maritza Dean,0,2400,1,2400,2400,MITRADEL
Maritza Nieto,0,3700,7,3700,529,MINSA
Marixenia Álvarez,524,10125,2,10649,5325,MITRADEL
Marlenis Marin,0,1665,2,1665,833,Ministerio del Ambiente
Marleny Sánchez,0,420,1,420,420,MEF
Marling Villarreal,0,525,1,525,525,Ministerio del Ambiente
Marlon Herrera,3841,6700,3,10541,3514,MICI
Marta Batres,644,0,1,644,644,Ministerio de la Presidencia
Marta Bernal,1195,2410,2,3605,1803,Ministerio de la Presidencia
Marta Domingo,0,4590,3,4590,1530,Ministerio del Ambiente
Marta Lengua,1365,0,1,1365,1365,MINSA
Marta Moreno,0,525,1,525,525,Ministerio del Ambiente
Martha De González,0,2940,4,2940,735,MEF
Martin Alpirez,0,1050,1,1050,1050,MINSA
Martín Barciela,3590,6405,3,9995,3332,MEF
Martin Testa,0,7215,5,7215,1443,Ministerio del Ambiente
Martiniano Higüero,4440,6070,3,10510,3503,MITRADEL
Maruquel Pabón,1767,4550,2,6317,3159,MEF
Marury Pimentel,1819,5233,2,7052,3526,MITRADEL
Marvin Aparicio,0,2520,1,2520,2520,MEF
Marvin Rodríguez,1200,2250,1,3450,3450,MIDES
Maskil Solis,0,1300,1,1300,1300,MINSA
Massiel Vega,0,6600,1,6600,6600,Ministerio del Ambiente
Maura Aparicio,786,3080,2,3866,1933,MEF
Mauricio Bermuez,1031,0,1,1031,1031,Ministerio de la Presidencia
Mauricio Fuentes,0,900,1,900,900,Ministerio del Ambiente
Mauro Bairnarls,5414,17570,10,22984,2298,MEF
Max Cedeño,585,3200,2,3785,1892,MOP
Max Ramirez,0,420,1,420,420,MINSA
Mayka De Leon,0,2400,1,2400,2400,Ministerio de Seguridad Pública
Mayra Abood,1577,1200,1,2777,2777,MINSA
Mayra Botacio,0,2660,4,2660,665,MINSA
Medardo Rosas,0,600,1,600,600,MITRADEL
Melissa Sanjur,0,6800,2,6800,3400,MITRADEL
Melissa Vasquez,0,600,1,600,600,Ministerio de Seguridad Pública
Melissa Velarde,23779,9700,5,33479,6696,Ministerio de la Presidencia
Melitza De Leon,561,5400,2,5961,2980,Ministerio de la Presidencia
Melva Cruz,0,500,1,500,500,MINSA
Mercedes Ochoa,0,3100,2,3100,1550,Ministerio del Ambiente
Mercedes Perez,0,1215,2,1215,608,MIDES
Michelle Dominguez,1812,2500,2,4312,2156,Ministerio de la Presidencia
Michelle Gonzalez,10396,34650,8,45046,5631,Ministerio de la Presidencia
Michelle Mastellari,757,4050,2,4807,2404,MEF
Mickeal Trotman,0,1600,1,1600,1600,Ministerio de Seguridad Pública
Miguel Batista,0,420,1,420,420,Ministerio del Ambiente
Miguel Esbri,11580,24975,9,36555,4062,Ministerio de la Presidencia
Miguel Jaén,0,2520,1,2520,2520,MEF
Miguel Mayo,21937,27850,15,49787,3319,MINSA
Miguel Pandales,2053,2380,2,4433,2216,MEF
Miguel Rodríguez,0,3600,1,3600,3600,Ministerio del Ambiente
Miguel Santiago,0,3500,3,3500,1167,Ministerio del Ambiente
Miguel Yau,0,2000,1,2000,2000,AIG
Milagros Caicedo,0,600,1,600,600,MINSA
Milagros Díaz,0,375,1,375,375,Ministerio del Ambiente
Mileyka Chandeck,604,5640,2,6244,3122,MITRADEL
Mileyka Zambrano,753,2800,1,3553,3553,MEF
Mirei Endara,0,23280,13,23280,1791,Ministerio del Ambiente
Miriam Figueroa,0,9600,1,9600,9600,MITRADEL
Mirka Rodriguez,0,2050,2,2050,1025,MINSA
Mirna Chung,1172,1230,2,2402,1201,MEF
