nombrecompleto,CostoPasajes,CostoViaticos,CantidadViajes,TotalViaje,CostoPerViaje,Institución
Paula Mese,0,3000,1,3000,3000,Ministerio de la Presidencia
Pebbles Muñoz,7031,21200,8,28231,3529,MICI
Pedro Escobar,897,1750,1,2647,2647,MIDES
Pedro Espinosa,514,1750,2,2264,1132,MEF
Pedro Sarasqueta,753,2800,1,3553,3553,MEF
Pedro Vivar,0,1340,2,1340,670,Ministerio del Ambiente
Pierre Fontane,0,6800,2,6800,3400,MITRADEL
Pilar Santiago,8864,28400,9,37264,4140,MICI
Piney Torres,0,0,1,0,0,Ministerio del Ambiente
Porfirio Molina,0,600,2,600,300,Ministerio del Ambiente
Porfirio Rangel,0,0,4,0,0,MOP
Publio Cortés,6335,12200,6,18535,3089,MEF
Quelso Muñoz,0,2400,1,2400,2400,Ministerio de Seguridad Pública
Radames Zambrano,0,525,1,525,525,MITRADEL
Rafael Chavarría,0,7800,2,7800,3900,MITRADEL
Rafael Perez,0,675,1,675,675,MINSA
Rafael Reyes,1183,2400,1,3583,3583,Ministerio de la Presidencia
Rafael Taveras,1281,0,1,1281,1281,Ministerio de la Presidencia
Raisa Alvarado,0,915,2,915,458,Ministerio del Ambiente
Ramon Arosemena,12681,14400,5,27081,5416,MOP
Ramon Balid,2999,6060,2,9059,4530,AIG
Ramon Castillo,0,1050,1,1050,1050,MINSA
Ramon Ramon,0,1050,1,1050,1050,MINSA
Raquel Martínez,0,750,1,750,750,MICI
Raquel Mock,0,720,1,720,720,MINSA
Raul Bravo,0,3325,6,3325,554,MINSA
Raúl Díaz,0,2800,1,2800,2800,Ministerio del Ambiente
Raúl González,0,420,1,420,420,Ministerio del Ambiente
Raúl Gutierrez,1125,4140,4,5265,1316,Ministerio del Ambiente
Raul Millan,0,540,1,540,540,AIG
Raúl Moreira,0,210,1,210,210,MEF
Raul Noriega,2474,1200,2,3674,1837,MINSA
Raúl Pinedo,5550,40365,18,45915,2551,Ministerio del Ambiente
Raul Sandoval,20925,5650,5,26575,5315,Ministerio de la Presidencia
Rebeca Ramirez,791,4500,4,5291,1323,Ministerio de la Presidencia
Reina Roa,1476,31845,15,33321,2221,MINSA
Remigio Almanza,0,2700,1,2700,2700,Ministerio del Ambiente
René López,0,2400,1,2400,2400,Ministerio del Ambiente
Rene Moses,0,9800,4,9800,2450,Ministerio de Seguridad Pública
Rene Ortega,0,4800,2,4800,2400,Ministerio de Seguridad Pública
Renza De Sánchez,397,1600,1,1997,1997,MOP
Reynaldo Nuñez,0,1600,1,1600,1600,Ministerio de la Presidencia
Ribana Molino,1366,800,1,2166,2166,MINSA
Ricardo Barranco,0,2030,2,2030,1015,Ministerio del Ambiente
Ricardo Chacon,1817,7950,3,9767,3256,Ministerio de Seguridad Pública
Ricardo Diaz,697,1500,1,2197,2197,Ministerio de Seguridad Pública
Ricardo Goti,840,7905,10,8745,875,MINSA
Ricardo Hughes,0,2150,3,2150,717,MINSA
Ricardo Melo,1635,2250,1,3885,3885,Ministerio de la Presidencia
Ricardo Mercado,0,1050,1,1050,1050,MINSA
Ricardo Quiel,2638,9200,3,11838,3946,MICI
Ricardo Raymore,0,1050,1,1050,1050,MINSA
Ricardo Rocha,5033,7500,4,12533,3133,MEF
Ricardo Saldaña,0,1050,1,1050,1050,MINSA
Ricardo Wong,0,4800,2,4800,2400,Ministerio de Seguridad Pública
Ricardo Ycaza,0,400,1,400,400,Ministerio del Ambiente
Ricardo Zubieta,4984,11650,7,16634,2376,MEF
Ricaurte Baloy,0,3600,2,3600,1800,Ministerio de Seguridad Pública
Rigoberto Lu,0,630,1,630,630,Ministerio del Ambiente
Rigoberto Samaniego,0,400,1,400,400,MINSA
Rigoberto Villareal,0,400,1,400,400,MINSA
Rita Orozco,3500,8385,7,11885,1698,Ministerio del Ambiente
Roberto Ballesteros,3500,4200,2,7700,3850,Ministerio del Ambiente
Roberto Bonilla,0,5310,7,5310,759,Ministerio del Ambiente
Roberto Castillo,0,3000,1,3000,3000,Ministerio de Seguridad Pública
Roberto Galan,1634,4800,7,6434,919,Ministerio del Ambiente
Roberto Guerrero,256,6600,4,6856,1714,Ministerio de Seguridad Pública
Roberto Hernández,3899,24000,3,27899,9300,MEF
Roberto Jiménez,0,6800,2,6800,3400,MITRADEL
Roberto Martinez,980,1800,1,2780,2780,MEF
Roberto Santoya,11833,13450,5,25283,5057,Ministerio de la Presidencia
Rocio Arjona,0,600,1,600,600,MINSA
Rocio Hernandez,1120,2760,3,3880,1293,Ministerio de la Presidencia
Rodney Mitre,0,3150,1,3150,3150,Ministerio del Ambiente
Rodolfo Aguilera,3710,4800,4,8510,2128,Ministerio de Seguridad Pública
Rodrigo Garcia,0,4400,4,4400,1100,Ministerio de Seguridad Pública
Rodrigo Guardia Dall'orso,0,315,1,315,315,MIVIOT
Rodrigo Ortiz,0,300,1,300,300,Ministerio de la Presidencia
Rogelio Alvarado,4036,4450,3,8486,2829,MEF
Rogelio Donadio,0,375,1,375,375,Ministerio de Seguridad Pública
Rogelio Medrano,1445,600,1,2045,2045,MEF
Rogelio Rodríguez,0,420,1,420,420,Ministerio del Ambiente
Rogelio Slopis,0,400,1,400,400,Ministerio del Ambiente
Rogelio Vásquez,440,1200,1,1640,1640,MEF
Roger Alexander,0,3000,1,3000,3000,Ministerio de Seguridad Pública
Roger Morales,0,400,1,400,400,Ministerio de Seguridad Pública
Rolando Becerra,0,300,1,300,300,Ministerio de Seguridad Pública
Rolando Fuentes,1241,4920,4,6161,1540,MITRADEL
Rolando Lopez,1467,0,1,1467,1467,Ministerio de la Presidencia
Rolando Luque,0,600,1,600,600,MINSA
Rolando Vásquez,0,4455,2,4455,2228,Ministerio del Ambiente
Roman Añino,0,1650,1,1650,1650,MINSA
Roman Ayala,0,400,1,400,400,Ministerio de Seguridad Pública
Romell Castillo,0,2400,1,2400,2400,Ministerio de Seguridad Pública
Ronald Campbell,5428,8000,4,13428,3357,Ministerio de la Presidencia
Ronald Vasquez,0,2400,1,2400,2400,Ministerio de Seguridad Pública
Roney Samaniego,0,9300,10,9300,930,Ministerio del Ambiente
Rorix Núñez,8831,59200,15,68031,4535,MITRADEL
Rosa Lowe,0,200,1,200,200,MINSA
Rosa Montero,0,400,1,400,400,MINSA
Roselin Roquebert,0,2100,1,2100,2100,Ministerio del Ambiente
Rosilena Lindo,0,36435,17,36435,2143,Ministerio del Ambiente
Rubén Herrera,0,2520,1,2520,2520,MEF
Ruben Ortiz,672,1600,1,2272,2272,Ministerio de la Presidencia
Ruben Pecchio,0,900,1,900,900,MINSA
Rubén Santos,0,420,1,420,420,Ministerio del Ambiente
Rubilú Rodríguez,0,1050,3,1050,350,MEF
Rufino Huertas,1115,2100,1,3215,3215,MIDES
Ruth Harding,1600,4000,2,5600,2800,MICI
Ruth Murillo,0,500,1,500,500,MINSA
Rutilio González,1871,5485,3,7356,2452,MITRADEL
S:e. Salazar,1120,3000,1,4120,4120,MICI
Salvador Sanchez,13598,9700,4,23298,5825,Ministerio de la Presidencia
Samantha Perez,0,2800,1,2800,2800,Ministerio del Ambiente
Samuel Moreno,7539,21800,8,29339,3667,MICI
Samuel Rivera,3953,6025,4,9978,2494,MITRADEL
Samuel Valdés,0,6810,4,6810,1703,Ministerio del Ambiente
Sandra Barrios,0,2250,1,2250,2250,Ministerio de la Presidencia
Sandra De Mendez,561,3150,1,3711,3711,Ministerio de la Presidencia
Sandra Ng,819,2970,2,3789,1894,MEF
Sandra Siu,4869,7800,2,12669,6335,MEF
Sandra Vega,0,0,1,0,0,MINSA
Santiago Noboa,1081,0,1,1081,1081,Ministerio de la Presidencia
Santiago Sanford,0,1400,1,1400,1400,MITRADEL
Saray Pimentel,0,630,1,630,630,MINSA
Saul Jordan,0,0,1,0,0,MOP
Selka Campos,0,0,1,0,0,MEF
Serafín Sánchez,0,0,1,0,0,MINSA
Sergio Gomez,3014,4670,3,7684,2561,Ministerio de la Presidencia
Sergio Vigil,0,0,1,0,0,MIDES
Shanida Navarro,1083,1050,1,2133,2133,MEF
Shanishka Johnson,0,3950,2,3950,1975,Ministerio de la Presidencia
Sharon Quinn,0,315,1,315,315,Ministerio del Ambiente
Sila Boya,0,900,2,900,450,Ministerio del Ambiente
Silvano Vergara,11289,16400,24,27689,1154,Ministerio del Ambiente
Silvia Batista,0,930,2,930,465,AIG
Soledad Batista,0,630,1,630,630,Ministerio del Ambiente
Sonia Gordon,0,1600,1,1600,1600,Ministerio de Seguridad Pública
Stella Escala,2651,3915,6,6566,1094,Ministerio de la Presidencia
Stephan Proaño,494,1600,1,2094,2094,MICI
Sugeidy Quintero,1073,4500,2,5573,2787,Ministerio de Seguridad Pública
Sugey Serrano,4540,13650,5,18190,3638,Ministerio de la Presidencia
Susana Calderon,1203,2800,2,4003,2001,Ministerio de la Presidencia
Sygrid Barragán,0,0,1,0,0,Ministerio del Ambiente
Tahira Benitez,1177,3150,2,4327,2163,MEF
Tamara Hernández,0,3360,2,3360,1680,Ministerio del Ambiente
Tatiana De Janon,1163,3350,3,4513,1504,MINSA
Tatina Nuñez,1031,0,1,1031,1031,Ministerio de la Presidencia
Temistocles Diaz,1819,3580,3,5399,1800,MINSA
Teresa Berbey,873,7050,1,7923,7923,MIVIOT
Tito González,5767,20200,7,25967,3710,MEF
Tulio Mosquera,0,2835,1,2835,2835,Ministerio del Ambiente
Valeriano Rodriguez,0,2400,1,2400,2400,Ministerio de Seguridad Pública
Valery González,0,1050,2,1050,525,MEF
Valia Sousa,0,405,1,405,405,Ministerio del Ambiente
Vanessa Tuñon,0,1260,1,1260,1260,Ministerio de la Presidencia
Vayron De Gracia,0,0,1,0,0,Ministerio del Ambiente
Velkis Afú,3125,6000,6,9125,1521,MICI
Vianka Aranda,1217,4200,1,5417,5417,MEF
Vicenta Rios,0,750,1,750,750,MINSA
Vicente Barletta,1446,1200,1,2646,2646,Ministerio de la Presidencia
Victor Corro,0,1770,4,1770,443,Ministerio del Ambiente
Victor Diaz,0,810,1,810,810,ANTAI
Victor Manuelsaturno,0,1500,1,1500,1500,Ministerio de Seguridad Pública
Víctor Medina,1779,4175,4,5954,1488,MEF
Victor Rodríguez,1311,2100,2,3411,1705,MEF
Victor Saturno,0,3000,1,3000,3000,Ministerio de Seguridad Pública
Victor Urrutia,13952,5800,10,19752,1975,Ministerio de la Presidencia
Vielka Tejada,1300,1785,3,3085,1028,MIDES
Vielka Vigil,3357,9780,5,13137,2627,MITRADEL
Virgilia Calderón,1848,2380,2,4228,2114,MEF
Virgilio Ureña,0,420,1,420,420,Ministerio del Ambiente
Virginia Muñoz,1577,400,1,1977,1977,MINSA
Viterbo Villarreal,2000,15640,8,17640,2205,Ministerio del Ambiente
Vivian Valdés,841,1125,1,1966,1966,MEF
Waldo Macre,3290,7650,3,10940,3647,Ministerio de la Presidencia
Walter Quintero,479,1200,1,1679,1679,MITRADEL
Wendy Herrera,0,525,1,525,525,Ministerio del Ambiente
Williams Robles,0,2000,2,2000,1000,Ministerio del Ambiente
Yadira Molto,0,400,2,400,200,MINSA
Yadira Rose,0,4000,1,4000,4000,Ministerio de Seguridad Pública
Yagehiry Garcia,0,630,1,630,630,Ministerio del Ambiente
Yahaira Cárdenas,0,4995,3,4995,1665,Ministerio del Ambiente
Yajaira Luna,0,810,2,810,405,Ministerio del Ambiente
Yalideth Gonzalez,0,1260,1,1260,1260,Ministerio de la Presidencia
Yamil Sánchez,0,630,2,630,315,Ministerio del Ambiente
Yamileth Diaz,585,3200,1,3785,3785,MOP
Yamileth Fajardo,0,450,1,450,450,Ministerio de la Presidencia
Yamileth Garrido,0,675,1,675,675,MINSA
Yaneth Jaramillo,1120,1200,1,2320,2320,Ministerio de la Presidencia
Yanileth Cedeño,0,540,1,540,540,MITRADEL
Yaoska Ruiz,950,1960,4,2910,728,Ministerio del Ambiente
Yaquelin Fossatti,0,1750,1,1750,1750,Ministerio del Ambiente
Yara González,7593,30215,8,37808,4726,MITRADEL
Yaremit Mendoza,0,6550,2,6550,3275,Ministerio del Ambiente
Yarianis Campos,1200,3150,1,4350,4350,MIDES
Yaribel Ruiz,2196,2400,1,4596,4596,MOP
Yariela Heart,0,300,1,300,300,MINSA
Yariela Ortega,0,0,1,0,0,MINSA
Yariseth Acevedo,0,3450,1,3450,3450,Ministerio del Ambiente
Yaritza Vallarino,0,1200,1,1200,1200,Ministerio de Seguridad Pública
Yasbeck Ramos,585,1800,1,2385,2385,MEF
Yasmín Cardenas,1200,6285,5,7485,1497,MIDES
Yasmira Rojas,0,1950,1,1950,1950,MINSA
Yatlin Ramos,1788,3990,3,5778,1926,MITRADEL
Yelkis Gill,0,750,1,750,750,MINSA
Yeny Carrasco,0,605,2,605,303,MINSA
Yessica Araúz,1391,4200,1,5591,5591,MEF
Yessica Martínez,0,1750,1,1750,1750,Ministerio del Ambiente
Yessika Arenas,2775,2700,1,5475,5475,Ministerio de la Presidencia
Yetzibel Pardo,980,1800,1,2780,2780,MEF
Yitza Batista,0,2400,1,2400,2400,Ministerio de Seguridad Pública
Yoani Gonzalez,0,2800,4,2800,700,MINSA
Yoaris Aparicio,0,420,1,420,420,Ministerio del Ambiente
Yoharis Boyce,0,4000,1,4000,4000,Ministerio de Seguridad Pública
Yolannie Núñez,1241,1500,1,2741,2741,MITRADEL
Yolany Castro,0,525,1,525,525,Ministerio del Ambiente
Yoleny Herrera,0,1440,1,1440,1440,MEF
Yuleika Cardenas,484,1200,1,1684,1684,Ministerio de la Presidencia
Yulissa Herrera,0,2415,1,2415,2415,MITRADEL
Yuriela Sagel,1316,2800,4,4116,1029,Ministerio de la Presidencia
Zaida Avila,0,3780,1,3780,3780,MEF
Zaida Reina,0,405,1,405,405,MINSA
Zeidy Llorente,0,300,1,300,300,Ministerio del Ambiente
Zelibeth Valverde,0,0,2,0,0,MINSA
Zereth Torres,6481,20500,10,26981,2698,MINSA
Zolinka Herrera,0,315,1,315,315,Ministerio del Ambiente
Zoraya Castrellon,0,3610,4,3610,903,Ministerio del Ambiente
Zoraya Quintero,6272,5850,2,12122,6061,Ministerio de la Presidencia
Zueline Aguilar,0,1200,1,1200,1200,AIG
Zuleika Arispe,0,3960,1,3960,3960,Ministerio del Ambiente
Zuleika Herbert,1500,945,2,2445,1223,MIDES
Zuleika Pinzón,0,10905,9,10905,1212,Ministerio del Ambiente
Zuleima Guillen,0,720,2,720,360,Ministerio del Ambiente
Zulema Sucre,5000,17120,11,22120,2011,MIDES
Zulma Rivera,0,2520,1,2520,2520,MEF
Zulphy Santamaría,7665,22265,8,29930,3741,MITRADEL
Zury Rios,644,0,1,644,644,Ministerio de la Presidencia
